,rank,title,world_lifetime_gross,studio,domestic_opening_gross,budget,MPAA_rating,run_time,genre_list,lead_name,lead_height_m,lead_is_female,audience_score,tomatometer,international_movie,lead_age_years
549,550,Split,278454417,Universal Pictures,40010975.0,9000000.0,PG-13,117.0,"['Horror', 'Thriller']",James McAvoy,1.7,False,79.0,77.0,False,37.99314966917636
550,551,Scary Movie,278019771,Miramax,42346669.0,19000000.0,R,88.0,['Comedy'],Anna Faris,1.63,True,43.0,52.0,False,23.939759677542018
551,552,xXx,277448382,Revolution Studios,44506103.0,70000000.0,PG-13,124.0,"['Action', 'Adventure', 'Thriller']",Vin Diesel,1.82,False,58.0,49.0,False,34.976045706897864
552,553,The Bourne Legacy,276144750,Universal Pictures,38142825.0,125000000.0,PG-13,135.0,"['Action', 'Adventure', 'Thriller']",Jeremy Renner,1.74,False,58.0,55.0,False,41.00206669708723
555,556,Lincoln,275293450,Walt Disney Studios Motion Pictures,944308.0,65000000.0,PG-13,150.0,"['Biography', 'Drama', 'History', 'War']",Daniel Day-Lewis,1.87,False,81.0,89.0,False,54.94320290516389
556,557,Lara Croft: Tomb Raider,274703340,Paramount Pictures,47735743.0,115000000.0,PG-13,100.0,"['Action', 'Adventure', 'Fantasy', 'Thriller']",Angelina Jolie,1.69,True,47.0,20.0,False,26.031485284052017
557,558,Tomb Raider,274650803,Warner Bros.,23633317.0,94000000.0,PG-13,119.0,"['Action', 'Adventure', 'Fantasy', 'Thriller']",Alicia Vikander,1.68,True,55.0,52.0,False,30.012307019545215
558,559,The Expendables,274470394,Lionsgate,34825135.0,80000000.0,R,103.0,"['Action', 'Adventure', 'Thriller']",Sylvester Stallone,1.77,False,64.0,42.0,False,64.01642900600807
559,560,Cloudy with a Chance of Meatballs 2,274325949,Sony Pictures Entertainment (SPE),34017930.0,78000000.0,PG,95.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Bill Hader,1.85,False,66.0,71.0,False,35.0527093315081
560,561,The Nutty Professor,273961019,Universal Pictures,25411725.0,54000000.0,PG-13,95.0,"['Comedy', 'Romance', 'Sci-Fi']",Eddie Murphy,1.76,False,67.0,84.0,False,35.06639668415849
561,562,Jerry Maguire,273552592,Sony Pictures Entertainment (SPE),17084296.0,50000000.0,R,139.0,"['Comedy', 'Drama', 'Romance', 'Sport']",Tom Cruise,1.7,False,79.0,84.0,False,34.0260190889041
562,563,Bad Boys II,273339556,Sony Pictures Entertainment (SPE),46522560.0,130000000.0,R,147.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Will Smith,1.88,True,78.0,23.0,False,34.98151570461632
564,565,The Silence of the Lambs,272742922,Other,13766814.0,19000000.0,,118.0,"['Crime', 'Drama', 'Thriller']",Jodie Foster,1.6,True,95.0,96.0,False,28.985609171800135
565,566,Grown Ups,271457301,Sony Pictures Entertainment (SPE),40506562.0,80000000.0,PG-13,102.0,['Comedy'],Adam Sandler,1.77,False,62.0,11.0,False,44.04106205795117
566,567,Neighbors,270665134,Universal Pictures,49033915.0,18000000.0,R,97.0,['Comedy'],Seth Rogen,1.8,False,63.0,73.0,False,31.98083694577535
568,569,We're the Millers,269994119,Warner Bros.,26419396.0,37000000.0,R,110.0,"['Comedy', 'Crime']",Jason Sudeikis,1.85,False,72.0,48.0,False,37.0294299946764
569,570,Gran Torino,269958228,Warner Bros.,271720.0,33000000.0,R,116.0,['Drama'],Clint Eastwood,1.93,False,90.0,81.0,False,77.94662521864781
571,572,American Gangster,269755430,Universal Pictures,43565135.0,100000000.0,R,157.0,"['Biography', 'Crime', 'Drama']",Denzel Washington,1.85,False,87.0,81.0,False,52.92812951555252
572,573,Epic,268426634,Twentieth Century Fox,33531068.0,100000000.0,PG,102.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Mystery', 'Thriller']",Amanda Seyfried,1.6,True,65.0,65.0,False,28.035578751235835
573,574,Exodus: Gods and Kings,268175631,Twentieth Century Fox,24115934.0,140000000.0,PG-13,150.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",Christian Bale,1.83,False,35.0,31.0,False,39.928836793672524
576,577,Batman Returns,266892996,Warner Bros.,45687711.0,80000000.0,PG-13,126.0,"['Action', 'Crime', 'Fantasy']",Michael Keaton,1.75,False,73.0,80.0,False,41.03763974446726
578,579,Something's Gotta Give,265328738,Sony Pictures Entertainment (SPE),16064723.0,80000000.0,PG-13,128.0,"['Comedy', 'Drama', 'Romance']",Jack Nicholson,1.77,False,69.0,72.0,False,65.97126777701727
579,580,Bridget Jones: The Edge of Reason,265126918,Universal Pictures,8684055.0,40000000.0,R,108.0,"['Comedy', 'Drama', 'Romance']",Renée Zellweger,1.6,True,60.0,27.0,False,34.95963000988668
580,581,The Incredible Hulk,264770996,Universal Pictures,55414050.0,150000000.0,PG-13,112.0,"['Action', 'Adventure', 'Sci-Fi']",Edward Norton,1.83,False,70.0,67.0,False,38.978777853829186
581,582,Waterworld,264218220,Universal Pictures,21171780.0,175000000.0,PG-13,135.0,"['Action', 'Adventure', 'Sci-Fi']",Kevin Costner,1.85,False,43.0,47.0,False,40.02738991558294
583,584,Charlie's Angels,264105545,Sony Pictures Entertainment (SPE),40128550.0,93000000.0,PG-13,98.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",Cameron Diaz,1.74,True,45.0,68.0,False,27.92608373260324
585,586,Jumanji,262821940,Sony Pictures Entertainment (SPE),11084370.0,65000000.0,PG,104.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Robin Williams,1.7,True,87.0,76.0,False,43.98358240170355
